Age;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99937;99881;99829;99782;99739;99699;99662;99628;99595;99565;99536;99508;99482;99457;99432;99408;99386;99363;99340;99319;99299;99283;99272;99263;99258;99254;99253;99253;99252;99252;99252;99253;99252;99250;99247;99239;99223;99188;99093;98768;98786;98804;98821;98838;98854;98871;98886;98903;98918
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99931;99869;99813;99763;99717;99675;99636;99601;99567;99536;99506;99478;99452;99426;99401;99378;99355;99333;99311;99290;99269;99250;99235;99224;99216;99212;99209;99208;99208;99208;99209;99210;99211;99211;99210;99207;99200;99184;99149;99055;98731;98749;98767;98785;98803;98820;98837;98853;98869;98885
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99923;99855;99795;99740;99691;99646;99606;99568;99534;99501;99471;99442;99416;99390;99365;99342;99319;99297;99276;99255;99234;99214;99196;99182;99172;99165;99161;99160;99159;99160;99161;99163;99164;99165;99166;99165;99163;99157;99142;99107;99013;98690;98710;98728;98747;98765;98782;98800;98816;98833;98849
43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99914;99839;99772;99713;99660;99612;99569;99529;99493;99460;99429;99399;99372;99346;99321;99299;99276;99254;99233;99212;99193;99174;99154;99137;99124;99114;99108;99105;99104;99105;99106;99108;99111;99113;99115;99116;99117;99115;99109;99096;99061;98968;98645;98666;98685;98704;98722;98741;98758;98776;98793;98810
44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99900;99816;99742;99678;99620;99569;99522;99480;99442;99408;99376;99346;99318;99292;99267;99244;99222;99200;99180;99160;99141;99122;99104;99085;99070;99057;99049;99044;99042;99042;99043;99046;99049;99052;99055;99058;99060;99061;99061;99056;99042;99009;98916;98595;98616;98636;98656;98674;98693;98712;98730;98748;98765
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99893;99795;99713;99641;99578;99523;99472;99428;99388;99351;99318;99287;99259;99232;99207;99184;99162;99141;99121;99102;99083;99066;99048;99030;99014;98999;98987;98981;98976;98976;98976;98979;98982;98986;98990;98994;98998;99001;99003;99004;98999;98987;98954;98863;98542;98564;98584;98605;98625;98645;98664;98682;98701;98719
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99882;99777;99682;99601;99531;99470;99416;99368;99325;99287;99252;99220;99191;99164;99139;99116;99094;99074;99054;99036;99018;99001;98984;98968;98951;98936;98922;98912;98906;98903;98903;98906;98909;98914;98918;98924;98929;98933;98938;98941;98942;98939;98927;98896;98805;98486;98507;98529;98550;98571;98592;98612;98631;98651;98669
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99868;99753;99650;99556;99478;99410;99351;99299;99254;99213;99176;99143;99113;99085;99061;99037;99016;98995;98977;98959;98942;98925;98910;98894;98879;98865;98851;98838;98830;98825;98823;98825;98828;98833;98839;98844;98851;98857;98863;98868;98873;98874;98872;98862;98831;98742;98423;98446;98469;98491;98513;98534;98555;98576;98595;98616
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99852;99723;99610;99510;99419;99343;99278;99221;99171;99127;99088;99054;99023;98995;98969;98946;98925;98905;98887;98870;98853;98838;98824;98810;98796;98783;98770;98757;98747;98739;98735;98736;98738;98743;98749;98756;98763;98771;98778;98785;98792;98798;98801;98800;98791;98761;98673;98356;98380;98404;98427;98450;98472;98493;98515;98536;98556
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99838;99694;99567;99457;99360;99272;99199;99135;99081;99033;98992;98955;98923;98894;98868;98845;98824;98805;98787;98771;98755;98741;98728;98715;98702;98691;98679;98668;98657;98647;98642;98640;98642;98646;98653;98660;98668;98677;98686;98695;98704;98711;98718;98722;98723;98715;98686;98599;98284;98309;98334;98358;98382;98406;98428;98451;98473;98494
